-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/10/2019 through 06/03/2023 
Location: Latitude  29.0679   Longitude -110.955 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 165.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,WS2M,T2M_MAX,T2M_MIN,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS
2019,1,10,0.29,1.32,19.51,12.54,10.71,13.11,8.06,73.88,4.45,99.83
2019,1,11,0.91,1.56,23.83,9.48,9.57,12.58,7.57,70.38,0.0,99.75
2019,1,12,0.91,1.9,23.04,9.62,5.82,10.69,5.8,54.06,0.0,99.74
2019,1,13,0.91,1.64,22.94,10.12,8.58,12.44,7.02,61.75,0.0,99.8
2019,1,14,0.72,1.28,23.8,12.22,8.65,13.0,7.02,59.25,0.0,99.87
2019,1,15,0.91,1.85,22.48,9.97,9.35,12.62,7.45,66.5,0.0,99.94
2019,1,16,0.94,1.27,24.71,14.22,9.96,14.03,7.63,60.81,0.0,99.96
2019,1,17,0.99,1.99,28.14,12.85,7.13,12.96,6.29,49.38,0.0,99.86
2019,1,18,0.92,2.58,28.62,11.73,6.02,12.3,5.86,47.69,0.0,99.84
2019,1,19,1.02,3.64,28.33,11.6,1.46,9.73,4.39,38.75,0.0,99.83
2019,1,20,1.06,2.92,27.72,9.08,1.87,9.3,4.46,39.94,0.0,99.63
2019,1,21,1.01,2.3,24.49,9.49,6.65,11.32,6.23,56.38,0.0,99.43
2019,1,22,0.98,3.14,20.34,6.51,-0.2,6.21,3.85,45.38,0.0,99.8
2019,1,23,0.89,3.98,24.34,6.61,-3.21,5.28,3.05,34.88,0.0,100.0
2019,1,24,0.92,2.88,26.96,7.85,-1.77,7.01,3.42,32.94,0.0,99.62
2019,1,25,1.03,2.8,26.96,9.1,-0.96,7.44,3.6,35.5,0.0,99.55
2019,1,26,0.98,3.12,27.38,6.07,-2.63,6.3,3.17,33.69,0.0,99.72
2019,1,27,0.91,3.01,26.08,9.39,-1.24,7.33,3.54,33.56,0.0,99.69
2019,1,28,0.98,1.64,26.84,10.8,1.06,9.01,4.21,37.81,0.0,99.41
2019,1,29,0.88,1.76,25.44,11.92,4.18,10.57,5.19,45.44,0.0,99.27
2019,1,30,1.05,2.14,25.19,10.74,6.16,11.48,5.98,51.62,0.0,99.31
2019,1,31,1.01,2.23,25.98,10.71,7.41,12.19,6.59,57.62,0.0,99.45
2019,2,1,0.87,1.8,24.63,11.21,10.13,13.71,7.75,65.81,0.0,99.58
2019,2,2,0.69,1.55,25.51,12.47,9.01,13.59,7.2,57.88,0.0,99.59
2019,2,3,0.99,1.12,23.01,13.79,11.17,14.45,8.36,67.25,0.14,99.4
2019,2,4,0.95,2.27,23.59,12.69,13.1,15.49,9.52,75.0,1.08,99.36
2019,2,5,0.6,1.43,19.33,13.0,11.3,13.55,8.42,75.25,0.16,99.5
2019,2,6,1.0,3.07,21.08,8.26,6.75,10.58,6.35,64.44,1.05,99.71
2019,2,7,1.08,3.16,24.12,5.17,-4.18,4.34,2.87,36.62,0.0,99.86
2019,2,8,-999.0,2.23,26.33,5.87,-4.59,4.81,2.75,31.5,0.0,99.59
2019,2,9,0.76,1.55,22.76,10.42,1.23,8.4,4.27,40.44,0.0,99.59
2019,2,10,0.7,1.29,21.98,11.94,7.14,11.36,6.35,58.75,0.1,99.54
2019,2,11,1.24,2.37,22.91,7.95,2.26,8.19,4.64,50.69,0.0,99.65
2019,2,12,1.2,2.73,26.93,8.34,-3.47,6.4,2.99,29.12,0.0,99.65
2019,2,13,1.16,1.74,26.55,11.51,-1.1,8.36,3.6,30.56,0.0,99.52
2019,2,14,1.28,1.85,29.25,13.83,6.33,13.41,6.29,41.56,0.01,99.61
2019,2,15,1.48,2.26,27.43,13.37,10.73,15.23,8.3,59.62,0.0,99.57
2019,2,16,1.49,3.03,25.33,9.49,2.73,9.65,4.7,44.0,0.0,99.5
2019,2,17,1.48,2.84,22.47,7.0,-3.08,5.29,3.11,35.94,0.0,99.66
2019,2,18,1.24,1.93,20.09,8.56,3.61,8.55,5.0,52.81,0.13,99.61
2019,2,19,1.17,2.99,18.75,6.61,-0.71,5.61,3.91,48.94,0.29,99.7
2019,2,20,1.3,2.11,18.22,5.22,-5.76,2.55,2.5,33.88,0.0,99.45
2019,2,21,1.12,3.65,18.38,5.92,6.76,9.59,6.23,71.0,1.4,99.17
2019,2,22,0.49,4.0,13.96,5.65,7.56,9.54,6.71,77.81,21.02,99.58
2019,2,23,1.22,2.84,21.19,4.11,-2.61,4.38,3.23,46.06,0.0,100.15
2019,2,24,1.42,2.42,23.6,4.54,-2.27,5.23,3.3,40.25,0.0,99.72
2019,2,25,1.62,1.62,24.39,6.9,-1.38,6.59,3.48,37.69,0.0,99.71
2019,2,26,1.85,1.9,25.9,8.62,-0.8,8.21,3.66,32.75,0.0,99.76
2019,2,27,1.22,1.11,23.91,12.95,2.69,10.11,4.7,38.69,0.0,99.76
2019,2,28,1.88,2.48,32.23,12.27,2.38,11.54,4.64,34.06,0.0,99.46
2019,3,1,1.95,1.86,31.69,13.16,4.58,12.82,5.37,38.75,0.0,99.45
2019,3,2,2.16,1.91,29.3,13.89,6.8,13.67,6.23,43.19,0.0,99.59
2019,3,3,2.35,2.42,28.96,12.88,9.21,14.57,7.45,56.5,0.0,99.58
2019,3,4,2.12,1.77,25.05,10.92,6.8,12.27,6.23,52.38,0.0,99.35
2019,3,5,2.03,1.62,27.47,13.94,7.5,13.59,6.53,47.94,0.0,99.42
2019,3,6,2.15,2.08,31.4,12.26,5.8,13.47,5.92,43.56,0.0,99.54
2019,3,7,1.24,1.48,27.51,14.69,7.91,14.1,6.77,48.06,0.0,99.58
2019,3,8,0.46,2.17,21.92,10.65,7.82,12.54,6.77,55.31,0.05,99.46
2019,3,9,1.31,1.92,21.45,8.08,2.45,8.45,4.64,47.81,0.0,99.39
2019,3,10,0.93,1.67,18.76,11.25,7.61,11.08,6.59,64.25,0.01,99.48
2019,3,11,1.44,3.23,28.69,10.33,6.62,12.65,6.23,51.81,2.82,99.21
2019,3,12,0.94,3.81,19.23,10.94,9.69,12.37,7.63,72.81,15.43,99.21
2019,3,13,1.17,2.2,22.34,9.32,7.78,11.35,6.71,67.12,0.02,99.58
2019,3,14,1.9,3.54,26.19,8.94,-0.85,7.7,3.78,40.25,0.0,99.62
2019,3,15,1.72,2.3,28.14,9.33,-0.42,8.37,3.78,35.0,0.0,99.32
