Fecha,Día festivo
01/01/2018,Año Nuevo
06/01/2018,Epifanía
24/02/2018,Día de la Bandera
21/03/2018,Cumpleaños de Benito Juárez
30/04/2018,Día del Niño
01/05/2018,Día del Trabajo
05/05/2018,"Día 5 de mayo, Batalla de Puebla"
10/05/2018,Día de las madres
15/08/2018,Día de la Asunción
01/09/2018,Declaración gubernamental
16/09/2018,Día de la Independencia
10/12/2018,Descubrimiento de América por Cristóbal Colón en 1492
01/11/2018,Día de los Muertos
02/11/2018,Día de Todos los Santos
20/11/2018,ía de la Revolución
12/12/2018,Día de la Virgen de Guadalupe
24/12/2018,Nochebuena
25/12/2018,Día de Navidad
31/12/2018,Noche Vieja
01/01/2019,Año Nuevo
06/01/2019,Epifanía
24/02/2019,Día de la Bandera
21/03/2019,Cumpleaños de Benito Juárez
30/04/2019,Día del Niño
01/05/2019,Día del Trabajo
05/05/2019,"Día 5 de mayo, Batalla de Puebla"
10/05/2019,Día de las madres
15/08/2019,Día de la Asunción
01/09/2019,Declaración gubernamental
16/09/2019,Día de la Independencia
10/12/2019,Descubrimiento de América por Cristóbal Colón en 1492
01/11/2019,Día de los Muertos
02/11/2019,Día de Todos los Santos
20/11/2019,ía de la Revolución
12/12/2019,Día de la Virgen de Guadalupe
24/12/2019,Nochebuena
25/12/2019,Día de Navidad
31/12/2019,Noche Vieja
01/01/2020,Año Nuevo
06/01/2020,Epifanía
24/02/2020,Día de la Bandera
21/03/2020,Cumpleaños de Benito Juárez
30/04/2020,Día del Niño
01/05/2020,Día del Trabajo
05/05/2020,"Día 5 de mayo, Batalla de Puebla"
10/05/2020,Día de las madres
15/08/2020,Día de la Asunción
01/09/2020,Declaración gubernamental
16/09/2020,Día de la Independencia
10/12/2020,Descubrimiento de América por Cristóbal Colón en 1492
01/11/2020,Día de los Muertos
02/11/2020,Día de Todos los Santos
20/11/2020,ía de la Revolución
12/12/2020,Día de la Virgen de Guadalupe
24/12/2020,Nochebuena
25/12/2020,Día de Navidad
31/12/2020,Noche Vieja
01/01/2021,Año Nuevo
06/01/2021,Epifanía
24/02/2021,Día de la Bandera
21/03/2021,Cumpleaños de Benito Juárez
30/04/2021,Día del Niño
01/05/2021,Día del Trabajo
05/05/2021,"Día 5 de mayo, Batalla de Puebla"
10/05/2021,Día de las madres
15/08/2021,Día de la Asunción
01/09/2021,Declaración gubernamental
16/09/2021,Día de la Independencia
10/12/2021,Descubrimiento de América por Cristóbal Colón en 1492
01/11/2021,Día de los Muertos
02/11/2021,Día de Todos los Santos
20/11/2021,ía de la Revolución
12/12/2021,Día de la Virgen de Guadalupe
24/12/2021,Nochebuena
25/12/2021,Día de Navidad
31/12/2021,Noche Vieja
01/01/2022,Año Nuevo
06/01/2022,Epifanía
24/02/2022,Día de la Bandera
21/03/2022,Cumpleaños de Benito Juárez
30/04/2022,Día del Niño
01/05/2022,Día del Trabajo
05/05/2022,"Día 5 de mayo, Batalla de Puebla"
10/05/2022,Día de las madres
15/08/2022,Día de la Asunción
01/09/2022,Declaración gubernamental
16/09/2022,Día de la Independencia
10/12/2022,Descubrimiento de América por Cristóbal Colón en 1492
01/11/2022,Día de los Muertos
02/11/2022,Día de Todos los Santos
20/11/2022,ía de la Revolución
12/12/2022,Día de la Virgen de Guadalupe
24/12/2022,Nochebuena
25/12/2022,Día de Navidad
31/12/2022,Noche Vieja
01/01/2023,Año Nuevo
06/01/2023,Epifanía
24/02/2023,Día de la Bandera
21/03/2023,Cumpleaños de Benito Juárez
30/04/2023,Día del Niño
01/05/2023,Día del Trabajo
05/05/2023,"Día 5 de mayo, Batalla de Puebla"
10/05/2023,Día de las madres
15/08/2023,Día de la Asunción
01/09/2023,Declaración gubernamental
16/09/2023,Día de la Independencia
10/12/2023,Descubrimiento de América por Cristóbal Colón en 1492
01/11/2023,Día de los Muertos
02/11/2023,Día de Todos los Santos
20/11/2023,ía de la Revolución
12/12/2023,Día de la Virgen de Guadalupe
24/12/2023,Nochebuena
25/12/2023,Día de Navidad
31/12/2023,Noche Vieja
